Date,Location,Median Sale Price,Median Sale Price MoM,Median Sale Price YoY,Homes Sold,Homes Sold MoM,Homes Sold YoY
2021-11-01,"Fifeville, VA",350,-0.08,0.08,14,1.8,0.08
2021-11-01,"Martha Jefferson, VA",683,0.95,0.5,4,-0.71,-0.67
2021-11-01,"Belmont, VA",395,0.1,-0.167,22,0.0,-0.043
2021-11-01,"Venable, VA",712,0.0,0.229,3,0.0,-0.625
2021-11-01,"Fry's Spring, VA",400,0.09,0.01,21,-0.12,0.0
2021-11-01,"Jefferson Park, VA",278,0.13,-0.23,12,0.33,1.0
2021-11-01,"Charlottesville, VA",399,0.03,0.0,94,0.09,0.04
2021-12-01,"Venable, VA",347,-0.51,-0.612,3,-0.33,-0.25
2021-12-01,"Fry's Spring, VA",388,-0.03,-0.02,24,0.14,0.09
2021-12-01,"Jefferson Park, VA",367,0.32,0.57,10,-0.17,0.67
2021-12-01,"Martha Jefferson, VA",470,0.34,-0.06,3,-0.8,-0.77
2021-12-01,"Charlottesville, VA",400,0.0,-0.07,110,0.17,0.21
2021-12-01,"Fifeville, VA",350,-0.49,0.11,15,2.75,0.07
2021-12-01,"Belmont, VA",399,0.01,0.107,22,0.05,0.048
2022-01-01,"Venable, VA",326,-0.06,-0.725,2,0.5,-0.5
2022-01-01,"Fry's Spring, VA",385,-0.01,0.07,16,-0.33,0.07
2022-01-01,"Jefferson Park, VA",250,-0.32,0.07,7,-0.3,0.17
2022-01-01,"Charlottesville, VA",349,-0.13,-0.12,46,-0.58,-0.42
2022-01-01,"Belmont, VA",399,0.0,0.176,23,-0.04,-0.179
2022-01-01,"Fifeville, VA",287,-0.39,-0.11,14,3.67,1.0
2022-01-01,"Martha Jefferson, VA",344,0.2,-0.54,3,-0.79,-0.7
2022-02-01,"Martha Jefferson, VA",305,-0.13,-0.61,3,-0.79,-0.5
2022-02-01,"Jefferson Park, VA",231,-0.08,0.1,6,-0.14,0.2
2022-02-01,"Fifeville, VA",349,0.01,0.36,14,3.67,1.8
2022-02-01,"Charlottesville, VA",398,0.14,0.0,73,0.59,0.33
2022-02-01,"Venable, VA",347,0.06,-0.797,3,0.33,0.5
2022-02-01,"Fry's Spring, VA",380,-0.01,0.05,15,-0.06,0.07
2022-02-01,"Belmont, VA",399,0.0,0.026,22,-0.41,-0.12
2022-03-01,"Fry's Spring, VA",380,0.0,0.06,17,0.13,0.55
2022-03-01,"Jefferson Park, VA",241,0.04,0.04,6,0.0,0.0
2022-03-01,"Charlottesville, VA",511,0.28,0.24,98,0.34,-0.07
2022-03-01,"Venable, VA",719,1.07,-0.183,4,0.0,-0.5
2022-03-01,"Belmont, VA",388,-0.03,0.264,13,0.62,-0.519
2022-03-01,"Fifeville, VA",360,0.18,0.4,12,3.0,0.71
2022-03-01,"Martha Jefferson, VA",337,-0.06,-0.31,5,-0.58,-0.17
2022-04-01,"Fry's Spring, VA",392,0.03,0.04,19,0.12,0.12
2022-04-01,"Jefferson Park, VA",457,0.9,0.83,7,0.17,0.4
2022-04-01,"Martha Jefferson, VA",326,-0.09,-0.27,6,-0.54,-0.14
2022-04-01,"Belmont, VA",449,0.16,0.287,21,0.05,-0.125
2022-04-01,"Venable, VA",719,0.0,0.089,4,-0.25,-0.556
2022-04-01,"Charlottesville, VA",500,-0.02,0.11,115,0.17,0.01
2022-04-01,"Fifeville, VA",360,0.07,0.38,13,1.6,0.3
2022-05-01,"Fifeville, VA",365,0.12,0.14,18,2.0,0.12
2022-05-01,"Martha Jefferson, VA",388,0.06,-0.13,8,-0.56,0.0
2022-05-01,"Jefferson Park, VA",457,0.0,0.34,7,0.0,0.0
2022-05-01,"Fry's Spring, VA",398,0.02,0.07,22,0.16,0.05
2022-05-01,"Belmont, VA",397,-0.12,0.247,22,0.27,-0.333
2022-05-01,"Charlottesville, VA",413,-0.17,0.1,114,-0.01,-0.16
2022-05-01,"Venable, VA",1100,0.53,0.598,3,0.0,-0.727
2022-06-01,"Belmont, VA",398,0.0,0.014,28,0.07,0.243
2022-06-01,"Fifeville, VA",352,-0.09,0.05,27,2.38,0.42
2022-06-01,"Martha Jefferson, VA",388,0.1,-0.0,8,-0.7,0.14
2022-06-01,"Fry's Spring, VA",413,0.04,-0.02,27,0.23,-0.13
2022-06-01,"Jefferson Park, VA",367,-0.2,0.23,8,0.14,0.33
2022-06-01,"Charlottesville, VA",433,0.05,0.04,153,0.34,-0.01
2022-06-01,"Venable, VA",1400,0.27,1.061,3,0.67,0.4
2022-07-01,"Fifeville, VA",352,-0.09,0.14,23,1.88,-0.04
2022-07-01,"Fry's Spring, VA",410,-0.01,0.03,24,-0.11,-0.25
2022-07-01,"Jefferson Park, VA",342,-0.07,0.44,10,0.25,0.25
2022-07-01,"Charlottesville, VA",403,-0.07,0.03,128,-0.16,-0.09
2022-07-01,"Venable, VA",920,-0.34,0.05,5,0.2,0.25
2022-07-01,"Belmont, VA",380,-0.05,-0.032,30,-0.03,-0.333
2022-07-01,"Martha Jefferson, VA",423,0.2,-0.06,6,-0.74,0.0
2022-08-01,"Fry's Spring, VA",425,0.04,0.09,29,0.21,-0.15
2022-08-01,"Jefferson Park, VA",325,-0.05,0.6,10,0.0,0.67
2022-08-01,"Venable, VA",1200,0.3,0.377,6,-0.17,1.0
2022-08-01,"Charlottesville, VA",426,0.06,0.14,109,-0.15,-0.18
2022-08-01,"Belmont, VA",350,-0.08,-0.125,29,-0.1,-0.383
2022-08-01,"Fifeville, VA",345,-0.18,0.16,18,2.0,-0.18
2022-08-01,"Martha Jefferson, VA",355,0.03,-0.15,5,-0.72,-0.17
2022-09-01,"Jefferson Park, VA",245,-0.25,0.37,8,-0.2,0.0
2022-09-01,"Fry's Spring, VA",403,-0.05,0.16,22,-0.24,0.0
2022-09-01,"Charlottesville, VA",373,-0.13,-0.2,63,-0.42,-0.38
2022-09-01,"Venable, VA",650,-0.46,-0.087,5,-0.4,0.667
2022-09-01,"Belmont, VA",274,-0.22,-0.24,26,-0.12,-0.469
2022-09-01,"Martha Jefferson, VA",485,0.37,0.18,4,-0.5,-0.33
2022-09-01,"Fifeville, VA",353,-0.01,0.22,8,0.6,-0.58
2022-10-01,"Fry's Spring, VA",403,0.0,0.09,24,0.09,0.0
2022-10-01,"Venable, VA",1400,1.15,0.966,3,0.33,0.0
2022-10-01,"Jefferson Park, VA",219,-0.11,-0.11,4,-0.5,-0.57
2022-10-01,"Belmont, VA",275,0.0,-0.236,23,0.0,-0.281
